일시,적설(cm)
2023-12-25 06:00:00,2.0
2023-12-25 07:00:00,2.0
2023-12-25 08:00:00,2.0
2023-12-25 09:00:00,2.4
2023-12-25 10:00:00,2.7
2023-12-25 11:00:00,3.0
2023-12-25 12:00:00,2.6
2023-12-25 13:00:00,1.6
2023-12-25 14:00:00,0.8
2023-12-25 15:00:00,0.3
2023-12-30 09:00:00,0.5
2023-12-30 10:00:00,2.7
2023-12-30 11:00:00,4.3
2023-12-30 12:00:00,7.3
2023-12-30 13:00:00,9.0
2023-12-30 14:00:00,11.4
2023-12-30 15:00:00,12.2
2023-12-30 16:00:00,12.0
2023-12-30 17:00:00,11.9
2023-12-30 18:00:00,11.5
2023-12-30 19:00:00,11.3
2023-12-30 20:00:00,10.8
2023-12-30 21:00:00,10.5
2023-12-30 22:00:00,10.2
2023-12-30 23:00:00,9.8
2023-12-31 00:00:00,8.8
2023-12-31 01:00:00,8.5
2023-12-31 02:00:00,8.0
2023-12-31 03:00:00,7.4
2023-12-31 04:00:00,7.0
2023-12-31 05:00:00,6.4
2023-12-31 06:00:00,5.9
2023-12-31 07:00:00,5.5
2023-12-31 08:00:00,5.0
2023-12-31 09:00:00,4.6
2023-12-31 10:00:00,4.5
2023-12-31 11:00:00,4.5
2023-12-31 12:00:00,3.9
2023-12-31 13:00:00,3.5
2023-12-31 14:00:00,3.3
2023-12-31 15:00:00,3.0
2023-12-31 16:00:00,2.6
2023-12-31 17:00:00,2.5
2023-12-31 18:00:00,2.5
2023-12-31 19:00:00,2.4
2023-12-31 20:00:00,2.4
2023-12-31 21:00:00,2.4
2023-12-31 22:00:00,2.4
2023-12-31 23:00:00,2.4
2024-01-01 00:00:00,2.4
