일시,적설(cm)
2024-11-28 01:00:00,21.1
2024-11-28 02:00:00,24.0
2024-11-28 03:00:00,25.8
2024-11-28 04:00:00,25.0
2024-11-28 05:00:00,24.7
2024-11-28 06:00:00,26.0
2024-11-28 07:00:00,27.8
2024-11-28 08:00:00,28.6
2024-11-28 09:00:00,27.1
2024-11-28 10:00:00,25.5
2024-11-28 11:00:00,23.4
2024-11-28 12:00:00,20.7
2024-11-28 13:00:00,19.1
2024-11-28 14:00:00,16.1
2024-11-28 15:00:00,14.6
2024-11-28 16:00:00,13.7
2024-11-28 17:00:00,13.3
2024-11-28 18:00:00,13.0
2024-11-28 19:00:00,12.7
2024-11-28 20:00:00,12.5
2024-11-28 21:00:00,12.5
2024-11-28 22:00:00,12.4
2024-11-28 23:00:00,12.3
2024-11-29 00:00:00,12.3
2024-11-29 01:00:00,12.2
2024-11-29 02:00:00,12.2
2024-11-29 03:00:00,12.0
2024-11-29 04:00:00,12.0
2024-11-29 05:00:00,12.0
2024-11-29 06:00:00,11.9
2024-11-29 07:00:00,11.8
2024-11-29 08:00:00,11.7
2024-11-29 09:00:00,11.4
2024-11-29 10:00:00,10.9
2024-11-29 11:00:00,10.5
2024-11-29 12:00:00,10.0
2024-11-29 13:00:00,9.7
2024-11-29 14:00:00,9.4
2024-11-29 15:00:00,8.9
2024-11-29 16:00:00,8.3
2024-11-29 17:00:00,8.1
2024-11-29 18:00:00,8.0
2024-11-29 19:00:00,8.0
2024-11-29 20:00:00,8.0
2024-11-29 21:00:00,8.0
2024-11-29 22:00:00,7.9
2024-11-29 23:00:00,7.9
2024-11-30 00:00:00,7.9
2024-11-30 01:00:00,7.8
2024-11-30 02:00:00,7.8
2024-11-30 03:00:00,7.8
2024-11-30 04:00:00,7.8
2024-11-30 05:00:00,7.8
2024-11-30 06:00:00,7.8
2024-11-30 07:00:00,7.8
2024-11-30 08:00:00,7.8
2024-11-30 09:00:00,7.8
2024-11-30 10:00:00,7.8
2024-11-30 11:00:00,7.8
2024-11-30 12:00:00,7.8
2024-11-30 13:00:00,7.7
2024-11-30 14:00:00,7.6
2024-11-30 15:00:00,7.1
2024-11-30 16:00:00,7.0
2024-11-30 17:00:00,6.2
2024-11-30 18:00:00,6.0
2024-11-30 19:00:00,5.7
2024-11-30 20:00:00,5.5
2024-11-30 21:00:00,5.4
2024-11-30 22:00:00,5.4
2024-11-30 23:00:00,5.4
2024-12-01 00:00:00,5.3
2024-12-01 01:00:00,5.0
2024-12-01 02:00:00,5.0
2024-12-01 03:00:00,5.0
2024-12-01 04:00:00,5.0
2024-12-01 05:00:00,5.0
2024-12-01 06:00:00,5.0
2024-12-01 07:00:00,4.8
2024-12-01 08:00:00,4.8
2024-12-01 09:00:00,4.8
2024-12-01 10:00:00,4.8
2024-12-01 11:00:00,4.7
2024-12-01 12:00:00,4.2
2024-12-01 13:00:00,3.5
2024-12-01 14:00:00,3.0
2024-12-01 15:00:00,2.0
2024-12-01 16:00:00,1.5
2024-12-01 17:00:00,1.0
2024-12-01 18:00:00,0.7
2024-12-01 19:00:00,0.6
2024-12-01 20:00:00,0.3
2024-12-20 22:00:00,0.2
2024-12-20 23:00:00,0.2
2024-12-21 00:00:00,0.5
2024-12-21 01:00:00,0.5
2024-12-21 02:00:00,0.5
2024-12-21 03:00:00,1.6
2024-12-21 04:00:00,1.6
2024-12-21 05:00:00,1.3
2024-12-21 06:00:00,1.3
2024-12-21 07:00:00,2.1
2024-12-21 08:00:00,2.7
2024-12-21 09:00:00,2.3
2024-12-21 10:00:00,2.3
2024-12-21 11:00:00,2.1
2024-12-21 12:00:00,1.8
2024-12-21 13:00:00,1.6
2024-12-21 14:00:00,1.6
2024-12-21 15:00:00,1.4
2024-12-21 16:00:00,1.4
2024-12-21 17:00:00,1.4
2024-12-21 18:00:00,1.4
2024-12-21 19:00:00,1.4
2024-12-21 20:00:00,1.4
2024-12-21 21:00:00,1.4
2024-12-21 22:00:00,1.4
2024-12-21 23:00:00,1.4
2024-12-22 00:00:00,1.4
2024-12-22 01:00:00,1.4
2024-12-22 02:00:00,1.4
2024-12-22 03:00:00,1.4
2024-12-22 04:00:00,1.4
2024-12-22 05:00:00,1.4
2024-12-22 06:00:00,1.4
2024-12-22 07:00:00,1.4
2024-12-22 08:00:00,1.4
2024-12-22 09:00:00,1.1
2024-12-22 10:00:00,1.0
2024-12-22 11:00:00,1.0
2024-12-22 12:00:00,0.9
2024-12-22 13:00:00,0.9
2024-12-22 14:00:00,0.8
2024-12-22 15:00:00,0.7
2024-12-22 16:00:00,0.7
2024-12-22 17:00:00,0.7
2024-12-22 18:00:00,0.7
2024-12-22 19:00:00,0.7
2024-12-22 20:00:00,0.7
2024-12-22 21:00:00,0.7
2024-12-22 22:00:00,0.7
2024-12-22 23:00:00,0.7
2024-12-23 00:00:00,0.7
2024-12-23 01:00:00,0.7
2024-12-23 02:00:00,0.7
2024-12-23 03:00:00,0.7
2024-12-23 04:00:00,0.7
2024-12-23 05:00:00,0.7
2024-12-23 06:00:00,0.7
2024-12-23 07:00:00,0.7
2024-12-23 08:00:00,0.7
2024-12-23 09:00:00,0.7
2024-12-23 10:00:00,0.7
2024-12-23 11:00:00,0.7
2024-12-23 12:00:00,0.5
